,model_key,alpha,temperature,seed,iter,loss_train,loss_val,Expert Utilization,Load Imbalance Ratio,Routing Concentration,Expert Load Variation,Routing Probability CV
,alpha_1.5_temp_0.5,1.5,0.5,44,2200,1.1744089,1.4953222,1,1.6272044031584547,0.8405516971250376,0.33226257417614885,0.39174746711055447
,alpha_1.5_temp_0.5,1.5,0.5,44,2300,1.1623638,1.4950097,1,1.6190281351080518,0.8385601369390886,0.3293096852299447,0.3824495914826791
,alpha_1.5_temp_0.5,1.5,0.5,44,2400,1.1505845,1.4951774,1,1.606799290901644,0.8394168679912886,0.3218605331367192,0.38218911556899543
,alpha_1.5_temp_0.5,1.5,0.5,44,2500,1.1395379,1.4950699,1,1.623761636195125,0.8388741759459178,0.33155426382351044,0.3796151744772991
,alpha_1.5_temp_0.5,1.5,0.5,44,2600,1.1268243,1.4974873,1,1.6060755563231963,0.839683088,0.32305154962232335,0.38302608489990236
,alpha_1.5_temp_0.5,1.5,0.5,44,2700,1.1192054,1.4955251,1,1.6225925064297269,0.838356182,0.3308387819384225,0.3805689358810584
,alpha_1.5_temp_0.5,1.5,0.5,44,2800,1.1088356,1.5016255,1,1.6082374961269232,0.8385557033270598,0.3264784618729415,0.3786642642468214
,alpha_1.5_temp_0.5,1.5,0.5,44,2900,1.0956594,1.5059419,1,1.6127913143923587,0.8383375658094884,0.32936916048095255,0.38044774113595486
,alpha_1.5_temp_0.5,1.5,0.5,44,3000,1.0886681,1.5137378,1,1.624791344967843,0.8377880105475586,0.3310463767928692,0.3780759836733341
,alpha_1.5_temp_0.5,1.5,0.5,44,3100,1.0766423,1.5066463,1,1.6094373878025967,0.8382756344079971,0.32785901145155855,0.3779063333968322
,alpha_1.5_temp_0.5,1.5,0.5,44,3200,1.0680661,1.5097748,1,1.6292320809000131,0.8377218077729145,0.3314337177897493,0.37712315741181374
,alpha_1.5_temp_0.5,1.5,0.5,44,3300,1.056281,1.520527,1,1.6199624545545104,0.8374791173934937,0.3254145459361995,0.3741971666266521
,alpha_1.5_temp_0.5,1.5,0.5,44,3400,1.0453736,1.5150763,1,1.5966677908914946,0.8392124145726362,0.32377220510008436,0.37091335851450763
,alpha_1.5_temp_0.5,1.5,0.5,44,3500,1.0380691,1.5249658,1,1.6110588826245804,0.8393701881965002,0.3270280409627594,0.37235078466931976
,alpha_1.5_temp_0.5,1.5,0.5,44,3600,1.0266143,1.5302868,1,1.6062639121515694,0.8382691873461008,0.32853493059488637,0.37154618947704626
,alpha_1.5_temp_0.5,1.5,0.5,44,3700,1.0172884,1.5340356,1,1.6123123133230017,0.8376507901052634,0.3283385115731508,0.36818442395329476
,alpha_1.5_temp_0.5,1.5,0.5,44,3800,1.0066148,1.5424913,1,1.6228161668238854,0.8379537518769503,0.3311473293329279,0.364176306
,alpha_1.5_temp_0.5,1.5,0.5,44,3900,0.9963971,1.55277,1,1.6240951414899432,0.8380931748400132,0.3277810042832668,0.3695015261818965
,alpha_1.5_temp_0.5,1.5,0.5,44,4000,0.9852662,1.5553808,1,1.6173875932748019,0.838092015,0.32890093196136877,0.37291090578089153
,alpha_1.5_temp_0.5,1.5,0.5,44,4100,0.97613,1.5535144,1,1.6176829238526949,0.8370623575250308,0.32916764941671867,0.37095266136278715
,alpha_1.5_temp_0.5,1.5,0.5,44,4200,0.9671662,1.5647388,1,1.6294137308820804,0.8368756293853123,0.3303689399502861,0.3688290780012806
,alpha_1.5_temp_0.5,1.5,0.5,44,4300,0.9574273,1.5796428,1,1.6025334562432867,0.8365028104384741,0.32544249776595585,0.3617935141175985
,alpha_1.5_temp_0.5,1.5,0.5,44,4400,0.9458404,1.5803976,1,1.604032603,0.8366482022255659,0.32663129051658324,0.3646900228311618
,alpha_1.5_temp_0.5,1.5,0.5,44,4500,0.9344567,1.5967416,1,1.5972813484665416,0.8370667658795914,0.32618504933066045,0.3585163577869534
,alpha_1.5_temp_0.5,1.5,0.5,44,4600,0.923349,1.5942873,1,1.6116601247011466,0.8368075744162002,0.32767368883693904,0.36256466359148426
,alpha_1.5_temp_0.5,1.5,0.5,44,4700,0.91522866,1.5988816,1,1.593571303262238,0.8373383797556162,0.3248127763494849,0.3582498103479544
,alpha_1.5_temp_0.5,1.5,0.5,44,4800,0.90508056,1.6056277,1,1.5964667695789043,0.8366617981394131,0.3247475483041102,0.3666236266071598
