Column1,model_key,alpha,temperature,seed,iter,loss_train,loss_val,Expert Utilization,Load Imbalance Ratio,Routing Concentration,Expert Load Variation,Routing Probability CV
133,alpha_2.5_temp_0.5,2.5,0.5,46,3100,1.1215676,1.494369,0.978958333,2.120134601,0.946519801,0.644809544,0.624136698
134,alpha_2.5_temp_0.5,2.5,0.5,46,3200,1.1118857,1.4980091,0.979125,2.102984269,0.945699696,0.638442954,0.612762371
135,alpha_2.5_temp_0.5,2.5,0.5,46,3300,1.1032847,1.4981692,0.979041667,2.113710233,0.945494211,0.639074107,0.617664863
136,alpha_2.5_temp_0.5,2.5,0.5,46,3400,1.0960418,1.5045393,0.979041667,2.114377549,0.941448745,0.641375607,0.617505133
137,alpha_2.5_temp_0.5,2.5,0.5,46,3500,1.0870228,1.5029477,0.979125,2.129730232,0.942957486,0.645816509,0.621482879
138,alpha_2.5_temp_0.5,2.5,0.5,46,3600,1.0772808,1.5064526,0.979083333,2.131117965,0.941058134,0.64454351,0.622900951
139,alpha_2.5_temp_0.5,2.5,0.5,46,3700,1.0691012,1.5014781,0.978958333,2.116316594,0.939512453,0.640573225,0.621499935
140,alpha_2.5_temp_0.5,2.5,0.5,46,3800,1.0617324,1.5103508,0.978958333,2.131985007,0.940648097,0.645518275,0.626556933
141,alpha_2.5_temp_0.5,2.5,0.5,46,3900,1.0557637,1.5190766,0.979083333,2.135162291,0.938748337,0.644231635,0.629276331
142,alpha_2.5_temp_0.5,2.5,0.5,46,4000,1.0460356,1.5128672,0.979,2.135472483,0.938002054,0.64476823,0.628855805
143,alpha_2.5_temp_0.5,2.5,0.5,46,4100,1.0395591,1.523225,0.979125,2.135380258,0.937627673,0.643713054,0.633015521
144,alpha_2.5_temp_0.5,2.5,0.5,46,4200,1.0284116,1.5280868,0.979166667,2.146430433,0.937089696,0.648484112,0.635917483
145,alpha_2.5_temp_0.5,2.5,0.5,46,4300,1.023349,1.5310752,0.979083333,2.156328112,0.936481369,0.651661087,0.641807346
146,alpha_2.5_temp_0.5,2.5,0.5,46,4400,1.0171802,1.5287482,0.979,2.131733284,0.936153004,0.641958403,0.624129387
